#Flocking_rules,1
100123305,1
100123345,1
1=January,1
20130208,1
20130311,1
20130409,1
20130507,1
20130605,1
20130703,1
20130801,1
<Strings>,1
APP_HEIGHT,2
APP_WIDTH,2
ASTEROID_MAX_SPEED,4
Abbruchkriterium,10
Abenteuer,2
Abenteurer,1
Abfeuern,1
Abgerufen,2
Abhängig,1
Abhängigkeit,1
Abhängigkeiten,2
Abkürzung,1
Abschließend,1
Abspielen,2
ActionEvent,9
ActionEvents,1
ActionListener,2
AddTwoIntegers,2
Addition,3
Additionen,1
Adressen,1
Adventure,1
AdventureKarel,1
AircraftCarrier,1
Aktienindex,1
Aktienkurse,6
Aktienkursen,1
Aktienkürzel,1
AlarmClock,1
Alarmuhr,1
Alarmzeit,1
Algorithmen,1
Alignment,1
Allerdings,24
Allgemeinen,3
Alphabetschrift,1
Alternativ,2
Alternativen,1
AnalogClock,1
Analysieren,2
Andernfalls,1
Anfangsbedingung,1
Anfangsbedingungen,1
Anfangsgeschwindigkeiten,1
Anforderung,1
Anforderungen,7
Anforderungsanalyse,2
Anführungsstrichen,1
Anführungszeichen,4
Angenommen,1
AngryCanon,1
Angsthase,1
AnimatedPacman,1
Animation,5
Animationen,6
Anmerkung,5
Annahmen,2
Ansatzes,2
Ansonsten,8
Anstelle,4
Antworten,8
Anweisung,11
Anweisungen,1
Anwendung,18
Anwendungen,2
Anwengung,1
Anzeigen,2
Apfelmännchen,1
Apostrophen,1
Applikation,1
Arbeiten,2
Arcadenspiele,1
Archäologen,1
Argument,1
AriadneKarel,1
ArithmeticException,1
ArrayIndexOutOfBoundsException,1
ArrayList,27
ArrayList<Article>,4
ArrayList<Cart>,2
ArrayList<Double>,1
ArrayList<GObject>,3
ArrayList<Question>,1
ArrayList<StockEntry>,2
ArrayList<String>,17
ArrayList<String>>,2
ArrayListen,1
ArrayLists,1
Assignments,1
Associate,1
Asterisk,1
Asteroid,1
AsteroidConstants,1
AsteroidCreator,2
Asteroiden,20
Asteroids,11
Attribute,10
Attributen,2
Attribution,1
AudioClip,4
Aufräumen,1
Aufträge,1
Aufwärmübung,1
Ausdruck,10
Ausdrucks,1
Ausdrücke,6
Ausdrücken,1
Auseinanderschneiden,1
Ausfallsicherheit,1
Ausführen,1
Ausgaben,3
Ausgabennummer,2
Ausgangbahnhof,1
Ausgangsbahnhof,3
Ausgangsbahnhöfe,1
Ausgangswort,3
Ausgefüllte,1
Ausnahme,1
Ausrufezeichen,1
Aussehen,1
Ausserdem,8
Austragungszeit,1
Auswahlmöglichkeiten,1
Auswertung,1
Autorennspiel,1
Außerdem,12
AverageTwoIntegers,2
BALL_DIAM,5
BALL_OFFSET,1
BALL_SIZE,2
BLOCK_SIZE,4
BOARD_SIZE,2
BRICK_SIZE,5
BULLET_SIZE,2
BULLET_SPEED,4
Backsteinen,2
Bahnhöfen,1
Baseline,1
BattleShip,2
Battleship,1
Bedingung,4
Bedingungen,7
Befindet,1
Beginnen,1
Beispiel,68
Beispielcode,1
Beispiele,21
Beispielen,6
Beiträge,1
Bekannte,1
Bekanntschaft,2
Beliebtheit,1
Benutzen,4
Benutzer,26
Benutzerin,5
Benutzername,2
Benutzernamen,4
Benutzeroberfläche,3
Benutzeroberflächen,2
Berechnung,4
Berechnungen,1
Berechtigung,1
Berufsakademie,1
Berührung,1
Beschreiben,5
Beschreibung,3
Beschreibungen,1
Beschriftungen,1
Besonderheit,1
Betrachten,9
Beträgen,1
Bevölkerung,2
Bewegung,2
Bewunderung,1
Beziehung,4
Bibliothek,5
Bidlschirm,1
BigMoney,1
Bildbearbeitungsprogramm,1
Bildmanipulation,1
Bildmanipulationen,2
Bildquelle,1
Bildschirm,10
Bildschirmrand,1
Bildschirms,3
Bildverarbeitung,2
Billiard,3
Billiards,1
BirdFlocking,1
Blackjack,3
BlueRect,3
Bogenschießen,2
Bolidiger,1
Bonbontüte,1
Boolesche,3
BorderLayout,4
BorderLayouts,1
Breakout,4
Breakout_,1
Breitengraden,1
Buchautor,1
Buchstabe,4
Buchstaben,22
